DiasParaEleicaoBR,DiasParaEleicaoUSA,Selic_Delta_21d,Fed_Delta_63d,Selic_Delta_63d,Spread_BR_US,Spread_BR_US_Delta_21d,MACD_Signal,WTI_Retorno_63d_lag3,Classe
0.5467975,0.34327683,0.035216384,-0.10304482,0.054873545,0.11140373,-0.036098894,-0.076252535,0.14610168,Venda
0.5788565,0.35747927,0.045453448,-0.11142108,0.07220698,0.12182624,-0.05857236,-0.09441521,-0.07922938,Venda
0.7380003,0.40193146,0.047678716,-0.089986,0.15185758,0.14920326,0.09415361,-0.12788258,-0.109008946,Venda
0.7161039,0.400442,0.047399353,-0.08870443,0.1501076,0.14550593,0.07594345,-0.13839059,-0.07072018,Venda
0.73672867,0.3699126,0.047276497,-0.08815355,0.21792938,0.13710538,0.09930911,-0.05332638,-0.1435827,Venda
0.7185763,0.37389866,0.039633065,-0.09402274,0.22743243,0.11578297,0.08677249,-0.056673896,0.107161224,Venda
0.7282431,0.3564362,0.048495684,-0.091397755,0.2403616,0.11272286,0.10860807,0.012404788,-0.17160323,Venda
0.78236413,0.37259933,-0.010852804,-0.12308547,0.19875406,0.11837739,-0.025361849,0.034894854,-0.09205409,Venda
0.8442076,0.4958429,-0.013076181,-0.1246904,0.14168507,0.09894869,-0.03256893,-0.00025415793,0.0351478,Venda
0.7025042,0.4167055,-0.014896333,-0.04340441,0.23309235,0.0676653,-0.04329965,0.22853908,-0.026578361,Venda
0.46369445,0.17890294,-0.014382946,-0.075131565,0.20322819,0.036843207,0.010526496,0.011375724,-0.21571158,Venda
0.3765732,0.16944006,-0.026129512,0.0020772645,0.1506881,0.030305613,-0.016616903,0.08587274,-0.22352265,Venda
0.27391654,0.16068459,-0.0018391644,-0.09934625,0.12865618,0.019796437,0.0006385183,-0.15707782,-0.37819168,Venda
0.40053636,0.23127466,-0.00767694,-0.11290302,0.16523278,0.032359965,0.0033404024,-0.09373009,-0.35901007,Venda
0.38570428,0.18629605,-0.012373214,-0.076971725,0.16245234,0.069518276,-0.0028367322,0.009090434,-0.03825332,Venda
0.3623659,0.17532668,-0.011778075,-0.06670881,0.15496908,0.08110346,0.0022291548,0.10394744,-0.028684434,Venda
0.36196393,0.1774355,-0.014572206,-0.055832244,0.1713908,0.08632204,0.009662315,0.07147604,-0.04470682,Venda
0.46921137,0.20062055,-0.0072821104,-0.035779983,-0.013717975,0.07292355,-0.006921299,0.01658625,0.06476267,Venda
0.4886257,0.23633404,-0.0065764003,-0.03012139,-0.011033166,0.07291087,-0.005869456,-0.0026704923,0.06654708,Venda
0.49589223,0.27205408,-0.0075431922,-0.059388272,-0.012077887,0.08489856,0.0075372118,0.010515274,-0.08275777,Venda
0.43959382,0.17099276,4.3693854e-05,-0.054044776,0.010725583,0.017855199,-0.22829258,-0.11459223,0.06059479,Venda
0.44253016,0.17513433,7.458914e-05,-0.05437371,0.010490368,0.008200622,-0.22785944,-0.068681575,-0.0005825428,Venda
0.4366597,0.1688997,0.00013740725,-0.055007186,0.011307698,0.014417454,-0.22926086,-0.07993684,0.07189985,Venda
0.44395745,0.1689655,-0.0001767957,-0.053828564,0.011523217,0.011484905,-0.23276633,-0.07384437,0.028533045,Venda
0.36519986,0.21228932,-0.0021138631,-0.096489705,0.007843009,0.020605192,-0.26163128,-0.15662931,-0.121930264,Venda
0.37955016,0.2117531,-0.0023792924,-0.103957176,0.0045415997,0.02031479,-0.25918117,-0.2052872,-0.12628812,Venda
0.35217428,0.20736259,-0.002312651,-0.10407921,0.0048344093,0.021187615,-0.2569634,-0.2477368,-0.13613069,Venda
0.3277181,0.17822923,0.0002808063,-0.06189291,0.013642566,0.011340006,-0.23140486,-0.19860257,0.0748171,Venda
0.33401918,0.16229777,0.00041501047,-0.05423707,0.013533419,0.01416771,-0.23242569,-0.21257669,0.07638248,Venda
0.41280752,0.20954299,-0.0018233425,-0.09786074,0.012258621,0.022841452,-0.26270914,-0.19263004,-0.13709442,Venda
0.41522112,0.14829178,-0.00052543025,-0.044367403,0.019941866,0.010271738,-0.19689062,-0.21785046,-0.04927859,Venda
0.39145496,0.15993772,0.001273338,-0.051159915,0.021118954,0.0036690587,-0.20848656,-0.21207525,0.006644653,Venda
0.41087648,0.15757366,0.00046709608,-0.053737465,0.020360902,0.011699212,-0.20539665,-0.2106972,-0.04924627,Venda
0.41358367,0.14081547,0.00078965485,-0.053522795,0.019844305,0.011207168,-0.19860432,-0.20980278,-0.07179332,Venda
0.41867262,0.16848755,0.0011216347,-0.047388043,0.019517649,0.0069557503,-0.20926224,-0.20776416,0.011820581,Venda
